week_start,week_end,week,month,year,theft,population_rate,education_rate,poverty_rate,inflation_rate,unemployment_rate,gdp,cpi
29/12/2014,04/01/2015,1,December,2014,,,,,,,,
05/01/2015,11/01/2015,2,January,2015,,,,,,,,
12/01/2015,18/01/2015,3,January,2015,,,,,,,,
19/01/2015,25/01/2015,4,January,2015,,,,,,,,
26/01/2015,01/02/2015,5,January,2015,,,,,,,,
02/02/2015,08/02/2015,1,February,2015,,,,,,,,
09/02/2015,15/02/2015,2,February,2015,,,,,,,,
16/02/2015,22/02/2015,3,February,2015,,,,,,,,
23/02/2015,01/03/2015,4,February,2015,,,,,,,,
02/03/2015,08/03/2015,1,March,2015,,,,,,,,
09/03/2015,15/03/2015,2,March,2015,,,,,,,,
16/03/2015,22/03/2015,3,March,2015,,,,,,,,
23/03/2015,29/03/2015,4,March,2015,,,,,,,,
30/03/2015,05/04/2015,5,March,2015,,,,,,,,
06/04/2015,12/04/2015,1,April,2015,,,,,,,,
13/04/2015,19/04/2015,2,April,2015,,,,,,,,
20/04/2015,26/04/2015,3,April,2015,,,,,,,,
27/04/2015,03/05/2015,4,April,2015,,,,,,,,
04/05/2015,10/05/2015,1,May,2015,,,,,,,,
11/05/2015,17/05/2015,2,May,2015,,,,,,,,
18/05/2015,24/05/2015,3,May,2015,,,,,,,,
25/05/2015,31/05/2015,4,May,2015,,,,,,,,
01/06/2015,07/06/2015,1,June,2015,,,,,,,,
08/06/2015,14/06/2015,2,June,2015,,,,,,,,
15/06/2015,21/06/2015,3,June,2015,,,,,,,,
22/06/2015,28/06/2015,4,June,2015,,,,,,,,
29/06/2015,05/07/2015,1,June,2015,,,,,,,,
06/07/2015,12/07/2015,2,July,2015,,,,,,,,
13/07/2015,19/07/2015,3,July,2015,,,,,,,,
20/07/2015,26/07/2015,4,July,2015,,,,,,,,
27/07/2015,02/08/2015,5,July,2015,,,,,,,,
03/08/2015,09/08/2015,1,August,2015,,,,,,,,
10/08/2015,16/08/2015,2,August,2015,,,,,,,,
17/08/2015,23/08/2015,3,August,2015,,,,,,,,
24/08/2015,30/08/2015,4,August,2015,,,,,,,,
31/08/2015,06/09/2015,1,August,2015,,,,,,,,
