week_start,week_end,week,month,year,theft,population_rate,education_rate,poverty_rate,inflation_rate,unemployment_rate,gdp,cpi
29/12/2014,04/01/2015,1,December,2014,565,1.19,1.9,13.2,1.366,5.6,0.2,1.1
05/01/2015,11/01/2015,2,January,2015,591,1.21,0.6,12.2,1.366,5.4,0.88,0.35
12/01/2015,18/01/2015,3,January,2015,585,1.21,0.6,12.2,1.366,5.4,0.88,0.35
19/01/2015,25/01/2015,4,January,2015,599,1.21,0.6,12.2,1.366,5.4,0.88,0.35
26/01/2015,01/02/2015,5,January,2015,611,1.21,0.6,12.2,1.366,5.4,0.88,0.35
02/02/2015,08/02/2015,1,February,2015,513,1.21,0.6,12.2,1.366,5.4,0.88,0.35
09/02/2015,15/02/2015,2,February,2015,593,1.21,0.6,12.2,1.366,5.4,0.88,0.35
16/02/2015,22/02/2015,3,February,2015,542,1.21,0.6,12.2,1.366,5.4,0.88,0.35
23/02/2015,01/03/2015,4,February,2015,527,1.21,0.6,12.2,1.366,5.4,0.88,0.35
02/03/2015,08/03/2015,1,March,2015,547,1.21,0.6,12.2,1.366,5.4,0.88,0.35
09/03/2015,15/03/2015,2,March,2015,498,1.21,0.6,12.2,1.366,5.4,0.88,0.35
16/03/2015,22/03/2015,3,March,2015,585,1.21,0.6,12.2,1.366,5.4,0.88,0.35
23/03/2015,29/03/2015,4,March,2015,595,1.21,0.6,12.2,1.366,5.4,0.88,0.35
30/03/2015,05/04/2015,5,March,2015,569,1.21,0.6,12.2,1.366,5.4,0.88,0.35
06/04/2015,12/04/2015,1,April,2015,545,1.21,0.6,12.2,1.366,5.4,0.88,0.35
13/04/2015,19/04/2015,2,April,2015,562,1.21,0.6,12.2,1.366,5.4,0.88,0.35
20/04/2015,26/04/2015,3,April,2015,544,1.21,0.6,12.2,1.366,5.4,0.88,0.35
27/04/2015,03/05/2015,4,April,2015,549,1.21,0.6,12.2,1.366,5.4,0.88,0.35
04/05/2015,10/05/2015,1,May,2015,555,1.21,0.6,12.2,1.366,5.4,0.88,0.35
11/05/2015,17/05/2015,2,May,2015,623,1.21,0.6,12.2,1.366,5.4,0.88,0.35
18/05/2015,24/05/2015,3,May,2015,582,1.21,0.6,12.2,1.366,5.4,0.88,0.35
25/05/2015,31/05/2015,4,May,2015,564,1.21,0.6,12.2,1.366,5.4,0.88,0.35
01/06/2015,07/06/2015,1,June,2015,499,1.21,0.6,12.2,1.366,5.4,0.88,0.35
08/06/2015,14/06/2015,2,June,2015,611,1.21,0.6,12.2,1.366,5.4,0.88,0.35
15/06/2015,21/06/2015,3,June,2015,602,1.21,0.6,12.2,1.366,5.4,0.88,0.35
22/06/2015,28/06/2015,4,June,2015,571,1.21,0.6,12.2,1.366,5.4,0.88,0.35
29/06/2015,05/07/2015,1,June,2015,543,1.21,0.6,12.2,1.366,5.4,0.88,0.35
06/07/2015,12/07/2015,2,July,2015,561,1.21,0.6,12.2,1.366,5.4,0.88,0.35
13/07/2015,19/07/2015,3,July,2015,541,1.21,0.6,12.2,1.366,5.4,0.88,0.35
20/07/2015,26/07/2015,4,July,2015,587,1.21,0.6,12.2,1.366,5.4,0.88,0.35
27/07/2015,02/08/2015,5,July,2015,537,1.21,0.6,12.2,1.366,5.4,0.88,0.35
03/08/2015,09/08/2015,1,August,2015,559,1.21,0.6,12.2,1.366,5.4,0.88,0.35
10/08/2015,16/08/2015,2,August,2015,588,1.21,0.6,12.2,1.366,5.4,0.88,0.35
17/08/2015,23/08/2015,3,August,2015,583,1.21,0.6,12.2,1.366,5.4,0.88,0.35
24/08/2015,30/08/2015,4,August,2015,558,1.21,0.6,12.2,1.366,5.4,0.88,0.35
31/08/2015,06/09/2015,1,August,2015,641,1.21,0.6,12.2,1.366,5.4,0.88,0.35
07/09/2015,13/09/2015,2,September,2015,584,1.21,0.6,12.2,1.366,5.4,0.88,0.35
14/09/2015,20/09/2015,3,September,2015,597,1.21,0.6,12.2,1.366,5.4,0.88,0.35
21/09/2015,27/09/2015,4,September,2015,638,1.21,0.6,12.2,1.366,5.4,0.88,0.35
28/09/2015,04/10/2015,5,September,2015,585,1.21,0.6,12.2,1.366,5.4,0.88,0.35
05/10/2015,11/10/2015,1,October,2015,559,1.21,0.6,12.2,1.366,5.4,0.88,0.35
12/10/2015,18/10/2015,2,October,2015,626,1.21,0.6,12.2,1.366,5.4,0.88,0.35
19/10/2015,25/10/2015,3,October,2015,651,1.21,0.6,12.2,1.366,5.4,0.88,0.35
26/10/2015,01/11/2015,4,October,2015,686,1.21,0.6,12.2,1.366,5.4,0.88,0.35
02/11/2015,08/11/2015,1,November,2015,652,1.21,0.6,12.2,1.366,5.4,0.88,0.35
09/11/2015,15/11/2015,2,November,2015,544,1.21,0.6,12.2,1.366,5.4,0.88,0.35
16/11/2015,22/11/2015,3,November,2015,643,1.21,0.6,12.2,1.366,5.4,0.88,0.35
23/11/2015,29/11/2015,4,November,2015,655,1.21,0.6,12.2,1.366,5.4,0.88,0.35
30/11/2015,06/12/2015,1,November,2015,690,1.21,0.6,12.2,1.366,5.4,0.88,0.35
07/12/2015,13/12/2015,2,December,2015,645,1.21,0.6,12.2,1.366,5.4,0.88,0.35
14/12/2015,20/12/2015,3,December,2015,666,1.21,0.6,12.2,1.366,5.4,0.88,0.35
21/12/2015,27/12/2015,4,December,2015,591,1.21,0.6,12.2,1.366,5.4,0.88,0.35
28/12/2015,03/01/2016,5,December,2015,607,1.21,0.6,12.2,1.366,5.4,0.88,0.35
04/01/2016,10/01/2016,1,January,2016,585,1.23,1.5,11.3,2.253,5.17,1.2,1.11
11/01/2016,17/01/2016,2,January,2016,590,1.23,1.5,11.3,2.253,5.17,1.2,1.11
18/01/2016,24/01/2016,3,January,2016,705,1.23,1.5,11.3,2.253,5.17,1.2,1.11
25/01/2016,31/01/2016,4,January,2016,670,1.23,1.5,11.3,2.253,5.17,1.2,1.11
01/02/2016,07/02/2016,1,February,2016,580,1.23,1.5,11.3,2.253,5.17,1.2,1.11
08/02/2016,14/02/2016,2,February,2016,642,1.23,1.5,11.3,2.253,5.17,1.2,1.11
